,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
I_5[23],-0.051,0.222,-0.471,0.366,0.005,0.005,2688.0,2640.0,1.0
I_5[24],-0.014,0.221,-0.436,0.396,0.004,0.005,2858.0,2919.0,1.0
I_5[25],0.011,0.221,-0.419,0.41,0.004,0.005,2998.0,2881.0,1.0
I_5[26],0.024,0.221,-0.406,0.428,0.004,0.005,3095.0,2995.0,1.0
I_5[27],0.023,0.22,-0.398,0.432,0.004,0.005,3156.0,2724.0,1.0
I_5[28],0.007,0.22,-0.416,0.416,0.004,0.005,3123.0,2708.0,1.0
I_5[29],-0.022,0.219,-0.445,0.383,0.004,0.005,3030.0,2748.0,1.0
I_5[30],-0.063,0.219,-0.479,0.354,0.004,0.005,2873.0,2744.0,1.0
I_5[31],-0.115,0.22,-0.512,0.318,0.004,0.005,2748.0,2714.0,1.0
I_5[32],-0.176,0.223,-0.586,0.252,0.004,0.005,2646.0,2684.0,1.0
I_5[33],-0.241,0.228,-0.668,0.183,0.005,0.005,2572.0,2749.0,1.0
I_5[34],-0.308,0.234,-0.778,0.092,0.005,0.005,2507.0,2645.0,1.0
I_5[35],-0.371,0.241,-0.865,0.024,0.005,0.005,2448.0,2682.0,1.0
I_5[36],-0.427,0.249,-0.903,0.009,0.005,0.005,2386.0,2500.0,1.0
I_5[37],-0.472,0.255,-0.955,-0.026,0.005,0.005,2331.0,2471.0,1.0
I_5[38],-0.502,0.26,-0.987,-0.045,0.006,0.005,2277.0,2482.0,1.0
I_5[39],-0.515,0.262,-1.017,-0.068,0.006,0.005,2225.0,2490.0,1.0
I_5[40],-0.507,0.261,-1.011,-0.063,0.006,0.005,2190.0,2592.0,1.0
I_5[41],-0.479,0.257,-0.966,-0.035,0.006,0.005,2171.0,2621.0,1.0
I_5[42],-0.432,0.25,-0.897,0.019,0.005,0.005,2158.0,2284.0,1.0
I_5[43],-0.366,0.241,-0.826,0.069,0.005,0.005,2180.0,2536.0,1.0
I_5[44],-0.284,0.232,-0.76,0.106,0.005,0.005,2248.0,2588.0,1.0
I_5[45],-0.191,0.224,-0.644,0.196,0.005,0.005,2354.0,2591.0,1.0
I_5[46],-0.092,0.219,-0.518,0.305,0.005,0.005,2524.0,2647.0,1.0
I_5[47],0.009,0.218,-0.409,0.408,0.004,0.005,2728.0,2611.0,1.0
I_5[48],0.105,0.22,-0.302,0.515,0.004,0.005,2869.0,2604.0,1.0
I_5[49],0.192,0.225,-0.225,0.61,0.004,0.005,2968.0,2683.0,1.0
I_5[50],0.263,0.231,-0.129,0.726,0.004,0.005,3031.0,2659.0,1.0
I_5[51],0.316,0.237,-0.102,0.769,0.004,0.005,3057.0,2555.0,1.0
I_5[52],0.347,0.241,-0.069,0.811,0.004,0.005,3077.0,2733.0,1.0
I_5[53],0.354,0.242,-0.08,0.801,0.004,0.005,3087.0,2810.0,1.0
I_5[54],0.337,0.24,-0.097,0.776,0.004,0.005,3093.0,2697.0,1.0
I_5[55],0.298,0.235,-0.106,0.749,0.004,0.005,3091.0,2787.0,1.0
I_5[56],0.238,0.23,-0.151,0.686,0.004,0.005,3076.0,2940.0,1.0
I_5[57],0.161,0.224,-0.248,0.574,0.004,0.005,3072.0,2928.0,1.0
I_5[58],0.072,0.22,-0.344,0.478,0.004,0.005,3059.0,2766.0,1.0
I_5[59],-0.023,0.218,-0.433,0.39,0.004,0.005,2933.0,2962.0,1.0
I_5[60],-0.119,0.221,-0.546,0.289,0.004,0.005,2748.0,2816.0,1.0
I_5[61],-0.21,0.226,-0.679,0.176,0.005,0.005,2640.0,2885.0,1.0
I_5[62],-0.29,0.233,-0.762,0.115,0.005,0.005,2567.0,2880.0,1.0
I_5[63],-0.356,0.24,-0.849,0.041,0.005,0.005,2475.0,2818.0,1.0
I_5[64],-0.404,0.246,-0.904,0.006,0.005,0.005,2395.0,2839.0,1.0
I_5[65],-0.431,0.25,-0.949,-0.025,0.005,0.005,2345.0,2860.0,1.0
I_5[66],-0.438,0.251,-0.941,-0.018,0.005,0.005,2319.0,2431.0,1.0
I_5[67],-0.424,0.249,-0.92,-0.006,0.005,0.005,2313.0,2828.0,1.0
I_5[68],-0.391,0.245,-0.879,0.022,0.005,0.005,2322.0,2851.0,1.0
I_5[69],-0.343,0.239,-0.79,0.094,0.005,0.005,2348.0,2760.0,1.0
I_5[70],-0.284,0.232,-0.735,0.13,0.005,0.005,2409.0,2664.0,1.0
I_5[71],-0.219,0.226,-0.682,0.169,0.005,0.005,2498.0,2760.0,1.0
I_5[72],-0.152,0.222,-0.585,0.251,0.005,0.005,2611.0,2691.0,1.0
I_5[73],-0.088,0.219,-0.506,0.313,0.004,0.005,2667.0,2686.0,1.0
I_5[74],-0.032,0.218,-0.452,0.363,0.004,0.005,2742.0,2638.0,1.0
I_5[75],0.013,0.218,-0.393,0.423,0.004,0.005,2801.0,2583.0,1.0
I_5[76],0.043,0.218,-0.382,0.437,0.004,0.005,2819.0,2703.0,1.0
I_5[77],0.058,0.218,-0.353,0.469,0.004,0.005,2811.0,2619.0,1.0
I_5[78],0.057,0.218,-0.356,0.469,0.004,0.005,2785.0,2635.0,1.0
I_5[79],0.042,0.218,-0.386,0.439,0.004,0.005,2744.0,2634.0,1.0
I_5[80],0.014,0.217,-0.404,0.42,0.004,0.005,2714.0,2603.0,1.0
I_5[81],-0.024,0.217,-0.421,0.399,0.004,0.005,2676.0,2653.0,1.0
I_5[82],-0.067,0.218,-0.498,0.326,0.005,0.005,2595.0,2633.0,1.0
I_5[83],-0.111,0.219,-0.544,0.281,0.005,0.005,2510.0,2520.0,1.0
I_5[84],-0.151,0.221,-0.588,0.245,0.005,0.005,2424.0,2548.0,1.0
I_5[85],-0.184,0.223,-0.62,0.216,0.005,0.005,2377.0,2648.0,1.0
I_5[86],-0.206,0.225,-0.656,0.186,0.005,0.005,2340.0,2804.0,1.0
I_5[87],-0.213,0.226,-0.666,0.184,0.005,0.005,2329.0,2724.0,1.0
I_5[88],-0.204,0.225,-0.633,0.208,0.005,0.005,2334.0,2816.0,1.0
I_5[89],-0.177,0.224,-0.597,0.239,0.005,0.005,2376.0,2824.0,1.0
I_5[90],-0.133,0.222,-0.566,0.265,0.005,0.005,2449.0,2789.0,1.0
I_5[91],-0.073,0.22,-0.501,0.324,0.005,0.005,2550.0,2955.0,1.0
I_5[92],0.001,0.219,-0.416,0.403,0.004,0.005,2707.0,2930.0,1.0
I_5[93],0.084,0.221,-0.32,0.502,0.004,0.005,2863.0,2929.0,1.0
I_5[94],0.174,0.225,-0.254,0.587,0.004,0.005,2996.0,2986.0,1.0
I_5[95],0.267,0.233,-0.168,0.693,0.004,0.005,3070.0,3025.0,1.0
I_5[96],0.358,0.243,-0.085,0.812,0.005,0.005,3106.0,2791.0,1.0
I_5[97],0.443,0.254,-0.01,0.917,0.005,0.005,3084.0,3094.0,1.0
I_5[98],0.519,0.266,0.061,1.025,0.005,0.005,3043.0,3061.0,1.0
I_5[99],0.584,0.277,0.11,1.108,0.005,0.005,2973.0,2836.0,1.0
I_5[100],0.635,0.286,0.156,1.184,0.005,0.005,2933.0,2946.0,1.0
I_5[101],0.671,0.293,0.175,1.225,0.005,0.005,2902.0,2837.0,1.0
I_5[102],0.693,0.298,0.194,1.265,0.006,0.005,2883.0,2795.0,1.0
I_5[103],0.701,0.3,0.196,1.275,0.006,0.005,2869.0,2735.0,1.0
I_5[104],0.697,0.299,0.198,1.28,0.006,0.005,2863.0,2837.0,1.0
I_5[105],0.683,0.296,0.143,1.214,0.005,0.005,2869.0,2901.0,1.0
I_5[106],0.661,0.292,0.17,1.228,0.005,0.005,2890.0,2925.0,1.0
I_5[107],0.634,0.288,0.118,1.154,0.005,0.005,2919.0,2971.0,1.0
I_5[108],0.606,0.282,0.108,1.121,0.005,0.005,2954.0,2995.0,1.0
