,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
I_3_hsgp_coeffs[25],0.294,0.857,-1.372,1.779,0.014,0.021,3998.0,1366.0,1.0
I_3_hsgp_coeffs[26],0.627,0.912,-1.006,2.448,0.015,0.024,3865.0,1244.0,1.0
I_3_hsgp_coeffs[27],-0.516,0.906,-2.204,1.122,0.014,0.026,3997.0,1304.0,1.0
I_3_hsgp_coeffs[28],-0.67,0.922,-2.337,1.158,0.017,0.025,3084.0,937.0,1.0
I_3_hsgp_coeffs[29],0.668,0.861,-0.979,2.236,0.015,0.021,3442.0,1391.0,1.0
I_3_hsgp_coeffs[30],0.56,0.853,-1.048,2.065,0.014,0.019,3677.0,1427.0,1.0
I_3_hsgp_coeffs[31],-0.616,0.858,-2.304,0.93,0.013,0.027,4355.0,957.0,1.0
I_3_hsgp_coeffs[32],-0.34,0.864,-1.952,1.248,0.017,0.021,2716.0,1303.0,1.0
I_3_hsgp_coeffs[33],0.357,0.873,-1.432,1.881,0.014,0.021,4077.0,1444.0,1.01
I_3_hsgp_coeffs[34],0.084,0.88,-1.665,1.6,0.014,0.027,3780.0,1186.0,1.0
I_3_hsgp_coeffs[35],-0.037,0.877,-1.689,1.595,0.014,0.022,3875.0,1404.0,1.0
I_3_hsgp_coeffs[36],0.178,0.908,-1.523,1.847,0.015,0.022,3582.0,1621.0,1.0
I_3_hsgp_coeffs[37],-0.221,0.895,-1.976,1.34,0.014,0.026,3857.0,1289.0,1.0
I_3_hsgp_coeffs[38],-0.397,0.877,-1.994,1.264,0.015,0.022,3262.0,1200.0,1.0
I_3_hsgp_coeffs[39],0.36,0.877,-1.292,2.017,0.012,0.021,5015.0,1499.0,1.0
I_3_hsgp_coeffs[40],0.422,0.908,-1.272,2.05,0.018,0.026,2451.0,1367.0,1.0
I_3_hsgp_coeffs[41],-0.205,0.868,-1.834,1.371,0.014,0.021,3578.0,1485.0,1.0
I_3_hsgp_coeffs[42],-0.352,0.854,-2.039,1.147,0.014,0.022,3873.0,1333.0,1.0
I_3_hsgp_coeffs[43],-0.073,0.854,-1.72,1.408,0.015,0.019,3040.0,1564.0,1.0
I_3_hsgp_coeffs[44],0.01,0.838,-1.612,1.53,0.015,0.023,3167.0,1342.0,1.0
I_3_hsgp_coeffs[45],0.448,0.902,-1.175,2.179,0.016,0.023,3236.0,1400.0,1.0
I_3_hsgp_coeffs[46],0.52,0.888,-1.017,2.308,0.016,0.02,3109.0,1376.0,1.0
I_3_hsgp_coeffs[47],-0.789,0.862,-2.483,0.835,0.013,0.021,4432.0,1521.0,1.0
I_3_hsgp_coeffs[48],-1.103,0.798,-2.645,0.331,0.013,0.019,3769.0,1624.0,1.0
I_3_hsgp_coeffs[49],0.834,0.826,-0.786,2.34,0.014,0.019,3301.0,1582.0,1.0
I_4_hsgp_coeffs[0],-0.026,0.957,-1.723,1.837,0.016,0.026,3570.0,1227.0,1.0
I_4_hsgp_coeffs[1],-0.52,0.969,-2.446,1.181,0.015,0.027,4305.0,1380.0,1.0
I_4_hsgp_coeffs[2],0.072,0.924,-1.656,1.801,0.015,0.02,3575.0,1498.0,1.0
I_4_hsgp_coeffs[3],0.916,0.845,-0.671,2.483,0.015,0.028,2972.0,1061.0,1.0
I_4_hsgp_coeffs[4],-0.149,0.892,-1.876,1.499,0.012,0.023,5238.0,1468.0,1.01
I_4_hsgp_coeffs[5],-1.116,0.88,-2.713,0.557,0.016,0.024,3050.0,1430.0,1.0
I_4_hsgp_coeffs[6],0.276,0.814,-1.173,1.851,0.014,0.022,3413.0,1444.0,1.0
I_4_hsgp_coeffs[7],1.115,0.885,-0.621,2.712,0.016,0.023,3134.0,1564.0,1.0
I_4_hsgp_coeffs[8],-0.321,0.848,-1.958,1.192,0.013,0.021,3959.0,1385.0,1.0
I_4_hsgp_coeffs[9],-0.971,0.856,-2.532,0.604,0.014,0.022,3729.0,1365.0,1.0
I_4_hsgp_coeffs[10],0.344,0.87,-1.318,1.916,0.014,0.024,3908.0,1225.0,1.0
I_4_hsgp_coeffs[11],0.735,0.881,-0.915,2.307,0.013,0.025,4502.0,1394.0,1.0
I_4_hsgp_coeffs[12],-0.267,0.884,-1.722,1.533,0.015,0.02,3274.0,1518.0,1.0
I_4_hsgp_coeffs[13],-0.429,0.855,-1.964,1.23,0.015,0.022,3313.0,1357.0,1.0
I_4_hsgp_coeffs[14],0.143,0.868,-1.505,1.714,0.016,0.021,3051.0,1141.0,1.01
I_4_hsgp_coeffs[15],0.133,0.87,-1.554,1.648,0.014,0.021,3625.0,1350.0,1.0
I_4_hsgp_coeffs[16],-0.043,0.887,-1.8,1.511,0.016,0.021,3253.0,1576.0,1.0
I_4_hsgp_coeffs[17],0.094,0.832,-1.582,1.551,0.016,0.02,2787.0,1255.0,1.0
I_4_hsgp_coeffs[18],-0.059,0.846,-1.614,1.489,0.013,0.019,4362.0,1580.0,1.0
I_4_hsgp_coeffs[19],-0.193,0.825,-1.783,1.261,0.013,0.022,4144.0,1569.0,1.0
I_4_hsgp_coeffs[20],0.11,0.831,-1.366,1.777,0.015,0.021,3126.0,1412.0,1.0
I_4_hsgp_coeffs[21],0.12,0.832,-1.437,1.62,0.014,0.021,3708.0,1326.0,1.0
I_4_hsgp_coeffs[22],-0.078,0.847,-1.677,1.463,0.014,0.02,3767.0,1552.0,1.0
I_4_hsgp_coeffs[23],-0.03,0.868,-1.681,1.613,0.014,0.02,3691.0,1603.0,1.0
I_4_hsgp_coeffs[24],0.071,0.859,-1.547,1.675,0.014,0.021,3825.0,1434.0,1.0
I_4_hsgp_coeffs[25],-0.188,0.874,-1.885,1.394,0.015,0.019,3249.0,1465.0,1.0
I_4_hsgp_coeffs[26],-0.058,0.863,-1.609,1.639,0.013,0.021,4245.0,1322.0,1.0
I_4_hsgp_coeffs[27],0.257,0.836,-1.206,1.993,0.014,0.021,3587.0,1562.0,1.0
I_4_hsgp_coeffs[28],0.105,0.882,-1.528,1.75,0.013,0.023,4557.0,1329.0,1.0
I_4_hsgp_coeffs[29],-0.142,0.889,-1.747,1.65,0.013,0.022,4794.0,1588.0,1.0
I_4_hsgp_coeffs[30],-0.167,0.821,-1.733,1.285,0.013,0.017,4376.0,1718.0,1.0
